Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Ґерета,Ганна,Павлівна,Жіноча,1959-01-31,Електрослюсар,селище Костопіль,"сквер Планетна, буд. 015, Косів, 49400",+380 07 574-80-32,dan29@example.com
Кибкало,Яків,Андрійович,Чоловіча,1981-12-28,Археолог,хутір Звенигородка,"набережна Ліверпульський, буд. 06 кв. 3, Великі Мости, 55873",288-78-89,aleksiukprokhir@example.org
Товстоліс,Лукʼян,Іванович,Чоловіча,1960-02-25,Електромонтажник,селище Хорол ,"площа Суворовська, буд. 406, Бобринець, 86681",+380 00 240 19 19,hordii19@example.org
Кабалюк,Єлисей,Юрійович,Чоловіча,1968-12-04,Модельєр,хутір Лутугине,"парк Друга, буд. 7, Стебник, 69970",712 29 09,bohuslavtytarenko@example.com
Василашко,Орхип,Євгенович,Чоловіча,1999-01-24,Футболіст,місто Заліщики,"набережна Буніна, буд. 7, Голубівка, 68104",+380 38 730-21-61,anastasiia55@example.net
Верховинець,Устим,Вікторович,Чоловіча,1963-08-03,Модельєр,селище Угнів,"провулок Десятого квітня, буд. 645 кв. 55, Семенівка, 87048",019 004 52 17,svyrydenkoprokhir@example.org
Сацюк,Ірина,Юріївна,Жіноча,1985-10-03,Перекладач,хутір Докучаєвськ,"площа Сирітський 2-й, буд. 8, Білозерське, 28785",070 440 67 63,anton67@example.net
Шутько,Наталія,Леонідівна,Жіноча,1971-07-09,Професор,селище Баштанка,"сквер Пестеля, буд. 428 кв. 29, Приморськ (Україна), 53747",+380 11 399 19 15,mlahoda@example.org
Сиротенко,Володимира,Іванівна,Жіноча,1976-12-20,Географ,село Городенка,"проспект Єфімова, буд. 79 кв. 856, Боярка, 65796",009 548-54-51,havrylozaruba@example.org
Єщенко,Костянтин,Миколайович,Чоловіча,1947-04-24,Бібліотекар,хутір Кодима,"парк Ясна, буд. 2, Кропивницький, 85127",+380 10 267-69-24,romanchukpriska@example.com
Засядько,Світлана,Юріївна,Жіноча,1955-11-17,Кухар,хутір Приморськ (Україна),"парк Лінія 41-ша, буд. 50, Чорноморськ, 67314",508 00 60,daryna17@example.net
Бабій,Геннадій,Григорович,Чоловіча,1945-10-01,Провізор,село Васильків,"сквер Елеваторна, буд. 48, Могилів-Подільський, 19476",105-23-76,vvlasiuk@example.net
Гоголь-Яновська,Леопольд,Федорович,Чоловіча,1971-03-11,Журналіст,місто Вараш,"сквер Лінія 54-та, буд. 266, Дунаївці, 77526",931-28-89,marta61@example.com
Дацюк,Мирослав,Ярославович,Чоловіча,1992-02-08,Біолог,село Славутич,"шосе Суперфосфатна, буд. 37, Верхівцеве, 80116",007 893-32-84,okhrim95@example.org
Саєнко,Франц,Ярославович,Чоловіча,1996-05-05,Льотчик,місто Моспине,"парк Альпіністів, буд. 244, Сєвєродонецьк, 69144",+380 (52) 877-14-62,ikarmaliuk@example.org
Чала,Віктор,Петрович,Чоловіча,1949-10-09,Графік,село Бершадь,"набережна Професора Коровицького, буд. 72, Галич, 69491",+380 (45) 018-63-09,olhaiukhymenko@example.net
Христич,Михайло,Григорович,Чоловіча,1993-08-28,Фотограф,місто Погребище,"площа Черкаська, буд. 3 кв. 540, Новий Буг, 74404",586 14 45,orlyksemen@example.net
Гаврилишин,Пармен,Юрійович,Чоловіча,1984-06-01,Режисер,село Ірміно,"площа Єфімова, буд. 297, Гнівань, 56712",765 77 66,rostyslav80@example.org
Онуфрієнко,Демид,Петрович,Чоловіча,1982-03-06,Бібліотекар,село Приморськ (Україна),"парк 8-ма Лінія 6-й ст. Люстдорфської дороги, буд. 528 кв. 351, Севастополь, 79021",081 830-14-00,danzakharenko@example.net
Шинкаренко,Микита,Володимирович,Чоловіча,1948-07-05,Сценарист,село Севастополь,"сквер Дачний, буд. 6, Заводське, 88498",+380 27 457-63-18,orkhyp31@example.org
Атаманчук,Борис,Олександрович,Чоловіча,1962-01-30,Клавішник,місто Бережани,"вулиця Аеропортівський 6-й, буд. 459 кв. 068, Українськ, 77573",+380 (96) 000-77-60,myroslav14@example.net
Саченко,Віталій,Васильович,Чоловіча,1967-02-07,Письменник,місто Тальне,"набережна Скляний 1-й, буд. 388, Жмеринка, 77273",+380 38 425 44 12,serhii80@example.com
Бакуменко,Єва,Сергіївна,Жіноча,1973-01-19,Математик,село Татарбунари,"площа Лінійний, буд. 3 кв. 477, Збараж, 10652",735 45 86,mykhailychenkohalyna@example.com
Уманець,Людмила,Богданівна,Жіноча,1996-12-21,Євнух,місто Деражня,"проспект Строганова, буд. 131 кв. 465, Бахчисарай, 27237",+380 88 354-23-20,orestbashtan@example.org
Іваничук,Любов,Володимирівна,Жіноча,1967-10-27,Детектив,місто Бердичів,"набережна Шкільний аеродром, буд. 0, Полонне, 60612",+380 76 154-70-54,dzhusazar@example.org
Стус,Аркадій,Віталійович,Чоловіча,1954-03-26,Епідеміолог,селище Рівне,"узвіз Астрономічний, буд. 47, Бібрка, 37898",+380 (46) 452-83-60,matviienkomariana@example.net
Забіла,Світлана,Володимирівна,Жіноча,1997-06-06,Громадський діяч,хутір Путивль,"шосе 16-та Лінія 6-й ст. Люстдорфської дороги, буд. 53, Новоселиця, 37902",990-63-72,yhaidabura@example.com
Тесленко,Богуслава,Ярославівна,Жіноча,1970-11-25,Реабілітолог,місто Дубляни,"провулок Золотий берег, буд. 02, Боково-Хрустальне, 74067",083 045 31 93,skopenkodanylo@example.org
Гайда,Богданна,Олександрівна,Жіноча,1967-11-21,Журналіст,місто Українка ,"проспект Амундсена, 1-й, буд. 69, Овруч, 54884",000 115 63 51,prokhirsaienko@example.org
Дутка,Олег,Андрійович,Чоловіча,1973-12-28,Продюсер,хутір Костопіль,"площа Карпатська, буд. 910 кв. 9, Корсунь-Шевченківський, 04624",+380 33 844-06-46,panasstus@example.org
Даньків,Орина,Дмитрівна,Жіноча,1991-06-08,Психолог,місто Кипуче,"провулок 6-та Суворовська, буд. 7, Бібрка, 88000",+380 88 268-63-46,iaroslavzasukha@example.com
Верховинець,Соломон,Ярославович,Чоловіча,2005-12-09,Головний меркшейдер,село Ізяслав,"узвіз Казковий, буд. 64 кв. 7, Пирятин, 71107",+380 27 193 73 44,baranpanas@example.com
Шелест,Лесь,Олександрович,Чоловіча,1988-10-20,Краєзнавець,село Гірник ,"узвіз Костанді 2-й, буд. 62 кв. 0, Сніжне, 18680",018 967-63-64,arkadiitymchuk@example.net
Демʼянчук,Алевтин,Григорович,Чоловіча,2008-08-27,Географ,селище Вараш,"вулиця Західний 2-й, буд. 917, Обухів, 26782",+380 21 762 37 52,pushkariaroslav@example.net
Перепелиця,Альбіна,Олександрівна,Жіноча,1953-06-30,Гірничий інженер,хутір Корець,"сквер Данькевича, буд. 247, Попасна, 62285",+380 62 590-43-07,ovcharenkooles@example.com
Вітрук,Нестор,Юрійович,Чоловіча,1993-10-17,Музичний редактор,селище Рожище,"проспект Гвоздичний, буд. 7, Дрогобич, 32153",058 391-30-47,vakulenkomartyn@example.org
Дашкевич,Дарина,Павлівна,Жіноча,1999-11-02,Ветеринар,селище Білгород-Дністровський,"вулиця Слобідська, буд. 6, Косів, 07823",+380 07 587-38-11,bazylevychbohodar@example.com
Вишняк,Аврелій,Володимирович,Чоловіча,2002-02-12,Математик,хутір Вугледар,"провулок Чапаєва, буд. 9, Броди, 98733",+380 (48) 604-80-71,deisunalina@example.org
Байда,Ігор,Андрійович,Чоловіча,1967-03-10,Біолог,місто Андрушівка,"вулиця Більшовицький, буд. 750, Чорнобиль, 15508",572 96 24,marko20@example.org
Бабко,Панас,Дмитрович,Чоловіча,1950-05-01,Кушнір,село Покров,"провулок Онілової, буд. 0, Вараш, 23724",771-45-64,vadymkhomenko@example.org
Кабалюк,Ірена,Павлівна,Жіноча,1984-12-27,Секретар,місто Алупка,"вулиця Різницький, буд. 08, Радомишль, 06757",490-31-71,hzharko@example.org
Єрченко,Соломія,Леонідівна,Жіноча,1997-02-17,Машиніст,селище Шаргород,"проспект Ботанічний, буд. 14 кв. 94, Жашків, 91273",072 204-94-05,perepelytsianadiia@example.org
Лубенець,Надія,Романівна,Жіноча,1961-05-21,Бібліограф,селище Феодосія,"сквер Ніжинська, буд. 53, Славута, 47674",+380 (29) 110-84-26,iosypprymachenko@example.com
Жадан,Леонід,Віталійович,Чоловіча,1961-08-08,Секретар,селище Надвірна,"проспект Лінія 52-га, буд. 790 кв. 7, Ірпінь, 75101",752-28-65,taras25@example.org
Копитко,Амвросій,Леонідович,Чоловіча,1986-03-06,Дантист,селище Чернівці,"сквер Маріїнська, буд. 151, Берислав, 42380",983-52-78,csvyrydenko@example.com
Валенко,Прохір,Федорович,Чоловіча,1968-02-26,Бібліотекар,селище Барвінкове,"провулок Стеценко, буд. 8 кв. 320, Берестечко, 51202",089 828-12-25,andrii99@example.com
Бабʼюк,Пилип,Федорович,Чоловіча,1990-04-06,Акушер,селище Бобринець,"шосе Лінія 43-тя, буд. 969 кв. 138, Богодухів, 35640",+380 76 674-64-03,shvedchenkoiosyp@example.net
Вахній,Наталія,Євгенівна,Жіноча,1984-12-03,Електромонтажник,село Болехів,"провулок Проектна 1-ша, буд. 5 кв. 6, Луганськ, 14299",+380 80 504 15 57,iiakovenko@example.org
Ватаманюк,Яків,Андрійович,Чоловіча,1989-08-16,Композитор,селище Гнівань,"вулиця Першотравневий 1-й, буд. 18 кв. 37, Зеленодольськ, 66109",265 76 31,skyrdaleonid@example.com
Стець,Еріка,Богданівна,Жіноча,1946-04-24,Астроном,село Нововолинськ,"вулиця Астрономічна, буд. 608, Новояворівськ, 78517",106 70 72,opanaskovpak@example.com
Яременко,Василина,Юріївна,Жіноча,1978-01-09,Дерун,місто Жовква,"проспект Ключовий 1-й, буд. 9, Зимогір'я, 69446",+380 14 717-53-73,derehusandrii@example.org
Акуленко,Богдан,Петрович,Чоловіча,1978-09-13,Доцент,селище Міусинськ,"парк Молодіжна, буд. 30, Гайворон, 48832",+380 16 461 18 05,prokhirderevianko@example.net
Микитюк,Юхим,Володимирович,Чоловіча,2006-06-22,Електрослюсар,селище Міусинськ,"вулиця Харківська, буд. 8 кв. 9, Васильків, 11565",+380 (23) 603-29-32,varvara62@example.net
Сич,Зиновій,Васильович,Чоловіча,1953-11-14,Стиліст,село Ірміно,"узвіз Дукова, буд. 14 кв. 344, Виноградів, 59463",910 70 32,bohuslavdashkevych@example.net
Давиденко,Лукʼян,Вікторович,Чоловіча,1957-11-10,Пілот,селище Комарно,"шосе Академіка Корольова, буд. 18 кв. 141, Миронівка, 62761",004 109 38 04,iriabchenko@example.org
Ященко,Маруся,Григорівна,Жіноча,2004-06-14,Астрофізик,хутір Комарно,"проспект Ювілейний 2-й, буд. 013 кв. 0, Старий Самбір, 65811",036 073-71-60,rubetssolomon@example.com
Удовиченко,Варфоломій,Сергійович,Чоловіча,1999-01-19,Юрист,хутір Перещепине,"площа Локомотивний 4-й, буд. 01, Дубровиця, 32917",006 276-50-56,viktoriiashcherbak@example.org
Франчук,Дарина,Дмитрівна,Жіноча,1943-09-30,Клавішник,місто Кагарлик,"провулок Каховський, буд. 48 кв. 4, Малин, 55385",+380 41 498-66-38,arsen59@example.com
Забашта,Мирослав,Леонідович,Чоловіча,1962-02-09,Художник,селище Чугуїв,"проспект Думська, буд. 105, Вугледар, 32027",+380 88 158-77-46,sviatoslavviter@example.com
Батіг,Марʼяна,Василівна,Жіноча,1966-01-04,Будник,село Люботин,"площа Дев’ята, буд. 0 кв. 300, Бобровиця, 51811",518 37 27,oleksa27@example.net
Швачка,Єфрем,Віталійович,Чоловіча,1940-12-06,Математик,місто Єнакієве,"сквер Зелений, буд. 849, Саки , 38480",477-40-32,khoma39@example.net
Карпа,Левко,Андрійович,Чоловіча,1963-05-14,Фольклорист,село Інкерман,"провулок Пейзажна, буд. 556, Бібрка, 78227",+380 (12) 029-84-13,kadeniukklyment@example.org
Ісаєнко,Ярина,Павлівна,Жіноча,2004-03-16,Дерун,селище Пирятин,"шосе Цегельнозаводська, буд. 598, Іршава, 66192",+380 44 706-11-20,iosyp87@example.net
Михайлюк,Ярема,Сергійович,Чоловіча,1996-04-26,Випробувач,хутір Івано-Франківськ,"провулок Каштанова, буд. 46, Стебник, 72532",+380 35 161 00 77,vakarchukleontii@example.net
Штепа,Володимир,Леонідович,Чоловіча,1968-03-13,Антрополог,місто Татарбунари,"сквер Академіка Богатського, буд. 87, Вугледар, 07183",783-41-37,nestorchaban@example.com
Михайличенко,Леопольд,Олександрович,Чоловіча,1990-06-17,Скульптор,селище Жашків,"сквер Соляний 3-й, буд. 3 кв. 97, Хоростків, 15825",691 32 23,roksolana70@example.net
Рубець,Алла,Іванівна,Жіноча,1980-01-18,Петрограф,селище Зіньків,"проспект Дворянська, буд. 111, Трускавець, 07864",088 050 68 69,klytvynenko@example.org
Гаврилів,Альберт,Романович,Чоловіча,2004-04-11,Фрілансер,село Сколе,"сквер Овідіопольська дуга, буд. 5, Південне , 73980",+380 (23) 282-27-66,lukianzasenko@example.org
Цушко,Дан,Ярославович,Чоловіча,2000-12-27,Будник,село Нова Каховка,"провулок Олексіївська, буд. 430, Лозова , 27617",+380 39 026-88-99,snizhana04@example.net
Алексеєнко,Єлисей,Григорович,Чоловіча,2004-11-21,Бізнесмен,село Дружба ,"сквер Крайня, буд. 590 кв. 278, Буринь, 48960",095 17 92,volodymyrievdokymenko@example.org
Гречаник,Андрій,Богданович,Чоловіча,1977-05-25,Реставратор,хутір Городище ,"шосе Чернишевського, буд. 873, Долина , 37994",357 77 11,chaidai@example.com
Деревʼянко,Трохим,Вікторович,Чоловіча,1958-09-22,Музичний редактор,селище Зимогір'я,"узвіз Красних Зорь, буд. 135 кв. 752, Скадовськ, 05299",+380 (78) 550-81-66,volodymyratverdokhlib@example.com
Ярош,Миколай,Петрович,Чоловіча,1958-10-07,Фольклорист,місто Верхівцеве,"парк Наявний 4-й, буд. 41 кв. 8, Шепетівка, 91900",477-45-97,chuikomyroslav@example.org
Ящук,Мирон,Григорович,Чоловіча,1990-11-26,Реставратор,хутір Шахтарськ,"проспект Наявний 5-й, буд. 378 кв. 40, Ірпінь, 03542",010 617-32-64,shovkopliasorysia@example.net
Дзюба,Арсен,Юрійович,Чоловіча,1948-05-16,Стропальник,село Красноград,"вулиця Героїв прикордонників, буд. 985 кв. 95, Маріуполь, 22390",230 37 35,tetiana17@example.org
Якименко,Ілля,Романович,Чоловіча,1995-04-03,Геофізик,селище Чугуїв,"шосе Середньофонтанський, буд. 2 кв. 287, Баштанка, 89555",069 711 90 61,iaroslav58@example.com
Масляк,Леопольд,Андрійович,Чоловіча,2003-01-17,Мікробіолог,село Чугуїв,"проспект Аеропортівський 6-й, буд. 05 кв. 5, Ковель, 49809",+380 74 502-90-36,dskyba@example.net
Єсипенко,Василь,Євгенович,Чоловіча,1945-01-15,Патологоанатом,місто Луганськ,"шосе Азовський, буд. 5 кв. 520, Кальміуське, 77958",+380 20 315-41-12,lukashtymofii@example.org
Башполченко,Адам,Вікторович,Чоловіча,1965-09-01,Ґрунтознавець,село Чоп,"проспект Новгородський 2-й, буд. 339 кв. 05, Снігурівка, 81479",+380 58 449 30 12,zakharenkoopanas@example.net
Приймак,Теодор,Романович,Чоловіча,2003-07-15,Провізор,село Хорол ,"сквер Різдвяна, буд. 433, Новодружеськ, 47333",+380 62 156 03 61,eshcherbak@example.org
Баранець,Олег,Богданович,Чоловіча,1970-06-04,Хореограф,місто Ізмаїл,"провулок Виноградний тупик, буд. 56, Географія Вільнянська, 59092",+380 09 430-27-59,ostap93@example.net
Корсун,Златослава,Вікторівна,Жіноча,2007-11-27,Біолог,хутір Ковель,"проспект Асєєва Юрія, буд. 1, Географія Вільнянська, 33332",286 60 65,zakharchenkomariana@example.com
Удовенко,Надія,Євгенівна,Жіноча,2001-05-06,Філолог,хутір Самбір,"проспект Паркова, буд. 01 кв. 4, Горохів, 51805",+380 (01) 494-22-68,zakhartereshchuk@example.net
Єрьоменко,Лукʼян,Віталійович,Чоловіча,2001-04-05,Кухар,місто Рогатин,"проспект Жаботинського, буд. 2, Семенівка, 08180",044 996-49-18,alla01@example.net
Карпенко,Варвара,Леонідівна,Жіноча,2000-06-18,Продюсер,село Новодністровськ,"вулиця Дунаєвського, буд. 828, Зборів, 93119",+380 07 127-47-59,venedyktvlokh@example.net
Стельмах,Іван,Васильович,Чоловіча,2002-08-18,Музикознавець,місто Ізюм,"набережна Скляний 3-й, буд. 346 кв. 746, Свалява, 14256",018 937-57-70,taronets@example.net
Самойленко,Надія,Іванівна,Жіноча,1985-11-07,Водій,місто Новий Розділ,"площа Сьома, буд. 34 кв. 3, Новоград-Волинський, 83864",075 624 26 68,bdankiv@example.net
Павличенко,Ярослав,Федорович,Чоловіча,1960-08-21,Музикознавець,селище Моршин,"узвіз Івана Франка, буд. 5 кв. 89, Добромиль, 67779",+380 10 570-62-56,chubaiemiliia@example.org
Матяш,Ілля,Петрович,Чоловіча,2001-06-26,Головний меркшейдер,місто Покровськ,"вулиця Суднобудівний, буд. 155 кв. 53, Чигирин, 87686",009 685-17-35,alinaadamchuk@example.net
Ярош,Богдан,Васильович,Чоловіча,1982-03-23,Реабілітолог,хутір Ялта,"площа Грецька, буд. 495 кв. 6, Глухів, 97383",+380 35 221 38 18,vertyporokhpanteleimon@example.org
Зінчук,Данило,Федорович,Чоловіча,1989-10-13,Клоун,селище Нове Давидково,"проспект Маринеско узвіз, буд. 6, Родинське, 04122",427-14-82,jriabets@example.com
Єсипенко,Ярема,Ярославович,Чоловіча,1941-02-14,Фольклорист,селище Апостолове,"сквер ім. К.Г. Паустовського, буд. 03 кв. 659, Докучаєвськ, 84386",815 25 69,irenakozachenko@example.org
Бабич,Галина,Володимирівна,Жіноча,1949-07-05,Дипломат,місто Кипуче,"провулок Сирітський 2-й, буд. 8 кв. 2, Зеленодольськ, 12549",+380 66 180-21-82,kovaliukhlib@example.org
Бабич,Аарон,Дмитрович,Чоловіча,1989-06-08,Електрослюсар,село Звенигородка,"сквер Каретний, буд. 87, Шепетівка, 41902",003 05 36,panas40@example.net
Стус,Єва,Миколаївна,Жіноча,2005-03-13,Гірник,село Волноваха,"сквер Новоукраїнський, буд. 14 кв. 6, Харків, 84974",+380 29 168-85-54,tryhubliza@example.org
Сірко,Світлана,Євгенівна,Жіноча,1979-08-08,Кінокритик,місто Подільськ,"площа Скляний 3-й, буд. 7, Апостолове, 67065",+380 23 488 45 92,tartiukh@example.org
Рудик,Юстим,Григорович,Чоловіча,1984-12-27,Електромонтер,місто Перевальськ,"вулиця Манежна, буд. 86, Сулимівка (Слов'янськ), 64055",+380 83 140 03 19,hriabets@example.com
Власенко,Мілена,Романівна,Жіноча,1984-07-07,Льотчик,місто Міусинськ,"узвіз Глиняна, буд. 6 кв. 34, Петрово-Красносілля, 75943",023 067-97-68,hlibdotsenko@example.net
Нестайко,Валентина,Федорівна,Жіноча,1971-04-26,Музикознавець,селище Красногорівка,"узвіз Просьолочна, буд. 829 кв. 312, Білогірськ, 66250",038 668 42 42,pbashpolchenko@example.net
Дашенко,Остап,Федорович,Чоловіча,1940-02-19,Маркетолог,місто Камінь-Каширський,"парк Андросовський, буд. 1 кв. 86, Мостиська, 38488",+380 (30) 751-87-52,abrahamovskahryhorii@example.org
Єрмоленко,Кирило,Петрович,Чоловіча,1944-04-18,Перекладач,селище Берислав,"набережна Кустанайська, буд. 0 кв. 06, Кремінна, 86646",060 076 09 64,tsisyknazar@example.com
Іваненко,Гліб,Павлович,Чоловіча,1990-11-09,Дерун,місто Золочів,"провулок Армійська, буд. 35, Інкерман, 20089",+380 (10) 717-68-81,lmasliak@example.net
Андрусенко,Демʼян,Юрійович,Чоловіча,1946-07-06,Соціолог,село Курахове,"вулиця Лютневий 1-й, буд. 73 кв. 257, Гайсин, 07604",+380 39 698-53-61,ustymkhomyk@example.com
Чаленко,Ярема,Іванович,Чоловіча,1991-06-29,Дантист,село Полтава,"набережна Лузанівка, буд. 7, Городище , 29172",973 52 71,varfolomiivatamaniuk@example.org
Терещенко,Станіслав,Романович,Чоловіча,1944-11-05,Правник,селище Івано-Франківськ,"площа Марата, буд. 62 кв. 95, Стебник, 98427",028 374-95-98,liubov31@example.net
Демиденко,Христина,Петрівна,Жіноча,2001-03-26,Льотчик,місто Тульчин,"шосе Монастирський, буд. 4 кв. 4, Сулимівка (Слов'янськ), 98494",+380 32 229-83-41,gshynkarenko@example.org
Скорик,Маруся,Дмитрівна,Жіноча,1996-02-26,Диригент,хутір Арциз,"шосе Ширяївський, буд. 48 кв. 27, Ямпіль, 62058",071 901 60 47,ezabara@example.net
Христенко,Ярослава,Дмитрівна,Жіноча,1965-04-20,Бібліотекар,хутір Лисичанськ,"вулиця Вапняна, буд. 6 кв. 48, Новоукраїнка, 63400",362 21 97,iatseniukleopold@example.net
Литвиненко,Еріка,Володимирівна,Жіноча,1985-01-23,Мистецтвознавець,хутір Пологи ,"сквер Старокінний, буд. 73 кв. 251, Старий Крим, 65274",+380 37 900 87 54,tetianaiemelianenko@example.org
Лаба,Орхип,Ярославович,Чоловіча,1987-03-21,Кінолог,хутір Шаргород,"вулиця Планетна, буд. 3, Жмеринка, 93214",+380 39 850-93-23,leon66@example.net
Хоменко,Орина,Павлівна,Жіноча,1980-01-07,Ботанік,селище Тлумач,"парк Володі Дубініна, буд. 309, Горішні Плавні, 56975",812-88-97,romanchukomelian@example.net
Данько,Камілла,Володимирівна,Жіноча,1988-02-28,Кіноактор,хутір Надвірна,"парк Костанді 3-й, буд. 370 кв. 2, Остер , 21375",+380 30 956 96 01,wgalagan@example.com
Чміль,Ірина,Богданівна,Жіноча,1951-04-04,Бібліотекар,селище Миргород,"площа Кропивницького, буд. 15 кв. 7, Жидачів, 88950",682-28-80,bohuslavhupalo@example.net
Токар,Віра,Федорівна,Жіноча,1956-07-22,Професор,село Новий Розділ,"провулок Леваневського, буд. 408 кв. 70, Березівка, 03901",+380 37 117 52 57,hryhorii63@example.org
Власюк,Єва,Василівна,Жіноча,1958-11-14,Флорист,селище Зугрес,"узвіз Артилерійський 2-й, буд. 10 кв. 8, Теплодар, 59168",+380 06 971 36 48,heorhiiolifirenko@example.com
Дрозд,Людмила,Павлівна,Жіноча,1969-06-26,Випробувач,селище Чернівці,"парк Пересипська 10-та, буд. 952 кв. 71, Знам'янка, 53903",271-89-03,ievhen14@example.com
Василенко,Владислав,Сергійович,Чоловіча,1994-10-16,Фрілансер,місто Новий Калинів,"набережна Учительський, буд. 068, Ямпіль, 78553",256-72-22,tetiana39@example.net
Голобородько,Азар,Богданович,Чоловіча,2000-08-02,Мистецтвознавець,місто Докучаєвськ,"вулиця Будівельний, буд. 66, Інкерман, 53851",678-01-23,baidakvioletta@example.net
Колесниченко,Азар,Дмитрович,Чоловіча,1955-10-01,Бухгалтер,селище Мар'їнка,"парк Ракетна, буд. 0 кв. 93, Камінь-Каширський, 92699",+380 (77) 642-82-79,azhazhaihor@example.org
Голобородько,Руслан,Юрійович,Чоловіча,1979-03-10,Головний меркшейдер,селище Ківерці,"сквер Градоначальницька, буд. 021 кв. 943, Ічня, 03208",+380 64 012-71-73,odarka78@example.net
Гузенко,Роман,Іванович,Чоловіча,1974-11-01,Архітектор,село Кривий Ріг,"узвіз Тульська, буд. 7 кв. 532, Оріхів, 03500",069 163 51 32,mykhailohavrylets@example.net
Шеремет,Єва,Леонідівна,Жіноча,1946-09-20,Стропальник,селище Білгород-Дністровський,"вулиця Митракова, буд. 8 кв. 9, Дружківка, 25397",+380 34 883-77-57,liliiadavydenko@example.com
Луценко,Андрій,Павлович,Чоловіча,1948-06-16,Літературознавець,селище Євпаторія,"проспект Амбулаторний 2-й, буд. 4 кв. 734, Тиврів, 92400",006 700 15 73,onysymkashchenko@example.org
Тарасенко,Златослава,Вікторівна,Жіноча,1949-07-22,Паралегал,село Гребінка,"площа Канатний, буд. 93, Південне , 70640",+380 (89) 153-66-66,bohuslava48@example.org
Вовк,Симон,Павлович,Чоловіча,1953-08-05,Парфюмер,хутір Стебник,"узвіз Костанді 2-й, буд. 4 кв. 0, Селидове, 92091",+380 (56) 523-77-31,kdutka@example.com
Девдюк,Яків,Миколайович,Чоловіча,1988-10-21,Фермер,хутір Кременець,"вулиця Терещенка Володимира, буд. 103 кв. 00, Павлоград, 96029",+380 67 428 58 21,xhrechko@example.org
Тесленко,Оксана,Вікторівна,Жіноча,1975-03-08,Локсмайстер,хутір Світлодарськ,"вулиця Учительський, буд. 2, Баранівка, 19244",+380 (91) 815-93-66,qshchors@example.org
Теліженко,Мартин,Володимирович,Чоловіча,1987-02-27,Археолог,селище Ладижин,"парк Дюківський сад, буд. 1 кв. 9, Карлівка, 95846",+380 85 933-92-05,lizafesenko@example.com
Таран,Єлисавета,Богданівна,Жіноча,1988-02-01,Бізнесмен,село Запоріжжя,"набережна Чорноморського козацтва, буд. 24 кв. 32, Шахтарськ, 52851",058 95 46,fnosenko@example.org
Зінкевич,Соломон,Вікторович,Чоловіча,1990-12-21,Журналіст,селище Липовець,"узвіз Курортний, буд. 59, Скадовськ, 65951",+380 76 953-11-30,vakhniiiukhym@example.net
Єременко,Миколай,Миколайович,Чоловіча,1992-05-22,Графік,хутір Молодогвардійськ,"парк Лінія 27-ма, буд. 08, Керч, 63448",+380 33 043-16-76,markodrozd@example.net
Власюк,Амалія,Леонідівна,Жіноча,1979-09-25,Зоолог,село Хирів,"шосе 13-та Лінія 6-й ст. Люстдорфської дороги, буд. 459, Городня, 52770",+380 46 488-42-29,vsemenchenko@example.com
Височан,Стефан,Вікторович,Чоловіча,1984-07-06,Головний меркшейдер,селище Ізмаїл,"площа Хутірська, буд. 4, Жовква, 47531",051 751 66 38,drobakharozaliia@example.com
Дубас,Ростислав,Юрійович,Чоловіча,1995-03-21,Юрист,село Федорівка,"сквер Лиманчик 2-й Лінія 5-та, буд. 789 кв. 49, Бориспіль, 78266",025 031-82-76,danylchuksnizhana@example.net
Андрійович,Лілія,Петрівна,Жіноча,1985-10-19,Паблік рилейшнз,місто Шепетівка,"набережна Ляпунова, буд. 3, Шостка, 58140",+380 91 812 18 48,hrechkovira@example.org
Салій,Дарина,Андріївна,Жіноча,1942-05-07,Продюсер,село Косів,"узвіз Авдєєва-Чорноморського, буд. 486 кв. 4, Знам'янка, 59342",+380 28 725 93 46,shchorsiaryna@example.com
Саєнко,Назар,Володимирович,Чоловіча,1964-11-11,Ріелтор,село Кипуче,"проспект Проїзний 3-й, буд. 9, Бершадь, 91958",236-80-17,bpalii@example.net
Шовкопляс,Федір,Вікторович,Чоловіча,1998-11-28,Промисловець,хутір Чуднів,"набережна Сортувальна 2-га, буд. 548, Зіньків, 87935",047 876 35 63,chalenkozorian@example.net
Вдовиченко,Омелян,Віталійович,Чоловіча,1950-05-25,Прокурор,селище Карлівка,"сквер Декабристів, буд. 561 кв. 18, Петрово-Красносілля, 75809",408-26-36,markoopanasenko@example.com
Тесля,Євген,Євгенович,Чоловіча,1946-10-21,Модель,місто Долинська,"шосе Жоліо-Кюрі, буд. 79 кв. 1, Житомир, 37365",+380 76 243-79-93,ltiahnybok@example.org
Ґалаґан,Амвросій,Володимирович,Чоловіча,1949-12-22,Модель,хутір Феодосія,"проспект Ткачова, буд. 0, Кагарлик, 56887",+380 11 047-01-08,stanislavkozak@example.com
Туркало,Мілена,Петрівна,Жіноча,1946-02-02,Публіцист,селище Радомишль,"парк Південна, буд. 51 кв. 8, Добропілля, 62854",+380 45 130-79-68,katroshchenko@example.com
Жаліло,Михайлина,Павлівна,Жіноча,2001-01-30,Електротехнік,село Вугледар,"набережна Лінія 37-ма, буд. 74 кв. 7, Часів Яр, 61807",+380 47 586 43 89,xsachenko@example.org
